 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC073886,25,1243,6.13,1113.47,869.52,826.36,25.78,15,21.53,10.25,74.25,925.56,1144.43,272.63,0.170,1.270,0.023,0.014,0.256,0.022,0.032,0.034,0.002,Pass
SCC073975,40,1231,5.46,1112.53,878.24,840.64,23.21,13,17.18,13.45,79.28,929.37,1117.10,228.14,0.192,1.346,0.024,0.012,0.274,0.041,0.046,0.033,0.002,Pass
SCC073976,40,1235,5.50,1122.19,880.83,832.79,23.21,13,17.28,13.26,79.39,923.58,1112.55,267.60,0.192,1.346,0.024,0.012,0.274,0.041,0.046,0.033,0.002,Pass
SCC074121,18,1214,5.21,1128.94,846.83,821.50,29.72,13,23.35,14.35,53.40,944.03,1115.15,117.70,0.154,1.234,0.025,0.012,0.213,0.018,0.042,0.030,0.002,Pass
SCC074122,18,1222,5.31,1121.87,844.78,818.35,29.77,13,23.35,13.96,53.39,942.40,1123.02,132.82,0.154,1.234,0.025,0.012,0.213,0.018,0.042,0.030,0.002,Pass
SCC074133,25,1235,5.12,1131.19,858.35,842.87,27.45,13,22.96,17.89,74.52,933.87,1140.06,197.76,0.170,1.290,0.024,0.012,0.237,0.022,0.035,0.030,0.002,Pass
SCC074134,25,1240,5.17,1110.79,879.99,857.43,27.36,13,22.81,17.89,74.54,930.64,1138.60,218.08,0.170,1.290,0.024,0.012,0.237,0.022,0.035,0.030,0.002,Pass
SCC074137,25,1232,5.01,1125.73,844.63,815.87,26.46,15,21.65,10.35,75.10,932.40,1137.30,207.34,0.160,1.300,0.020,0.018,0.216,0.031,0.040,0.035,0.002,Pass
SCC074138,25,1238,5.06,1123.86,871.24,827.03,15.42,17,21.72,10.50,74.30,932.81,1140.05,192.74,0.160,1.300,0.020,0.018,0.216,0.031,0.040,0.035,0.002,Pass
SCC074139,25,1226,4.83,1130.85,873.65,832.81,26.54,13,22.42,17.41,71.29,931.20,1132.53,197.55,0.200,1.330,0.023,0.003,0.350,0.028,0.045,0.035,0.002,Pass
SCC074140,25,1232,4.87,1110.06,874.11,844.57,26.51,13,22.29,16.60,71.29,927.54,1133.55,207.84,0.200,1.330,0.023,0.003,0.350,0.028,0.045,0.035,0.002,Pass
SCC074261,16,1212,4.21,1123.98,867.18,960.15,24.51,15,23.11,13.90,47.45,971.77,1119.72,57.81,0.170,1.210,0.023,0.020,0.200,0.026,0.035,0.035,0.002,Pass
SCC074262,16,1223,4.31,1127.78,898.56,821.95,23.77,15,23.09,13.96,47.43,971.14,1129.54,67.25,0.170,1.210,0.023,0.020,0.200,0.026,0.035,0.035,0.002,Pass
SCC074273,25,1234,4.36,1146.56,864.09,833.99,15.38,15,23.29,21.85,74.30,930.52,1138.69,202.55,0.180,1.340,0.022,0.014,0.305,0.030,0.038,0.032,0.002,Pass
SCC074274,25,1240,4.40,1144.70,893.90,853.80,27.96,13,23.22,21.42,74.32,931.78,1136.92,212.42,0.180,1.340,0.022,0.014,0.305,0.030,0.038,0.032,0.002,Pass
